"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.449106958E0,1.083446960E0,8.425079956E0,-3.291804657E0
3.459042958E0,1.307980042E0,8.610693970E0,-3.385360107E0
3.468978958E0,9.773176575E-1,8.891210632E0,-3.132984924E0
3.478914958E0,8.378077698E-1,8.850944366E0,-2.775378571E0
3.488850958E0,1.058898010E0,8.648265839E0,-2.442470856E0
3.498786958E0,1.458866272E0,8.758287048E0,-2.428250427E0
3.508721958E0,1.300046539E0,9.194330292E0,-2.355651398E0
3.518657958E0,3.731739807E-1,9.166039124E0,-2.430346069E0
3.528593958E0,2.188449097E-1,9.106762390E0,-2.414479065E0
3.538529958E0,7.041357422E-1,9.245823212E0,-2.295326843E0
3.548465958E0,4.575984192E-1,8.990753632E0,-2.272723846E0
3.558401958E0,4.837939453E-1,8.774752808E0,-2.126777344E0
3.568337958E0,6.384223938E-1,9.311835938E0,-1.721869354E0
3.578273958E0,1.077309723E0,9.689500580E0,-1.504371643E0
3.588209958E0,1.511407013E0,9.794432373E0,-1.435365143E0
3.598145958E0,9.690847778E-1,1.082878143E1,-1.363364868E0
3.608080958E0,4.064048767E-1,1.082623672E1,-1.082399139E0
3.618016958E0,8.887019348E-1,9.344168701E0,-1.057251434E0
3.627952958E0,5.800437927E-1,8.901988220E0,-1.019679565E0
3.637888958E0,-1.351689148E-1,9.536069641E0,-1.133143616E0
3.647824958E0,-1.772314453E-1,9.991422729E0,-1.021475830E0
3.657760958E0,2.544708252E-2,9.952653351E0,-9.373507690E-1
3.667696958E0,1.821711731E-1,9.945917358E0,-9.574090576E-1
3.677632958E0,4.337979126E-1,1.003123993E1,-9.976753235E-1
3.687568958E0,5.004093933E-1,9.385333099E0,-1.187330933E0
3.697504958E0,3.083587646E-1,9.171727295E0,-1.588496704E0
3.707440958E0,2.547702026E-1,9.438322906E0,-2.083367615E0
3.717375958E0,2.468367004E-1,9.403595123E0,-2.421813812E0
3.727311958E0,2.390528870E-1,9.561666412E0,-2.622696075E0
3.737247958E0,2.378553772E-1,9.847871246E0,-2.689307556E0
3.747183958E0,4.348457336E-1,9.853858795E0,-2.702480164E0
3.757119958E0,6.167175293E-1,9.888137512E0,-2.753673706E0
3.767055958E0,7.487429810E-1,1.001148102E1,-2.791395264E0
3.776991958E0,9.053173828E-1,1.018976028E1,-2.810854797E0
3.786927958E0,1.083297272E0,1.027687912E1,-2.851570129E0
3.796863958E0,1.238374786E0,1.031699570E1,-2.879112854E0
3.806799958E0,1.299447784E0,1.104059097E1,-4.211043091E0
3.816735958E0,2.486479340E0,9.651329956E0,-4.894222412E0
3.826671958E0,2.906356201E0,8.897946625E0,-4.442611542E0
3.836606958E0,1.979932709E0,1.005264542E1,-4.368815002E0
3.846542958E0,1.079555054E0,1.020592667E1,-4.209995270E0
3.856478958E0,4.510121155E-1,1.027972321E1,-4.221820679E0
3.866414958E0,5.207670593E-1,1.025756927E1,-3.780238953E0
3.876350958E0,7.322772217E-1,1.019125717E1,-3.259920959E0
3.886286958E0,8.815168762E-1,1.024888733E1,-3.075953522E0
3.896222958E0,1.080004120E0,9.950108643E0,-3.037333832E0
3.906158958E0,1.015338593E0,9.798623657E0,-3.025209045E0
3.916094958E0,1.067280579E0,9.975555725E0,-2.913241882E0
3.926030958E0,1.059047699E0,1.004800507E1,-2.667303314E0
3.935966958E0,8.226892090E-1,9.945617981E0,-2.223176880E0
3.945902958E0,1.462458801E-1,7.970325623E0,-2.940934296E0
3.955837958E0,-5.987548828E-2,1.040531204E1,-2.609373779E0
3.965773958E0,5.724096680E-1,9.612859955E0,-1.535357208E0
3.975709958E0,1.456620941E0,8.360115051E0,-1.014290771E0
3.985645958E0,1.583107910E0,8.575068054E0,-1.570683746E0
3.995581958E0,1.134041748E0,8.616232452E0,-2.142045593E0
4.005517958E0,9.735754395E-1,8.713230743E0,-1.696272583E0
4.015453958E0,1.574725342E0,8.324788513E0,-6.376739502E-1
4.025389958E0,1.574575653E0,8.244555359E0,-9.131011963E-3
4.035325958E0,9.970765686E-1,8.520281982E0,1.773811340E-1
